id,parren,type,,
1,1,oras,Kusadasi,
2,1,oras,Bodrum,
3,1,oras,Marmaris,
4,1,oras,Antalya,
5,1,oras,Belek,
6,1,oras,Side,
7,1,oras,Alanya,
8,1,oras,Kemer,
9,1,oras,Lara Kundu,
10,1,oras,Istanbul,
15,1,oras,Cesme,
16,1,oras,Finike,
17,1,oras,Fethiye,
19,2,oras,Hammamet,
20,2,oras,Monastir,
21,2,oras,Sousse,
23,3,oras,Hurgada,
24,3,oras,Sharm El Sheikh,
27,14,oras,Paris,
30,16,oras,Roma,
32,22,oras,Viena,
33,23,oras,Chisinau,
34,24,oras,Barcelona,
36,25,oras,Moscova,
37,26,oras,New York,
38,27,oras,Praga,
39,28,oras,Londra,
40,29,oras,Copenhaga,
41,30,oras,Oslo,
45,31,oras,Beijing,
46,32,oras,Tokyo,
47,38,oras,Tripoli,
48,33,oras,Varsovia,
49,34,oras,Tel Aviv,
51,36,oras,Brussels,
52,37,oras,Stockholm,
55,20,oras,Duni,
56,16,oras,Ascoli Satriano,
57,20,oras,Albena,
58,20,oras,Golden Sands,
60,20,oras,Nessebar,
61,20,oras,Obzor,
62,20,oras,Pomorie,
63,20,oras,Elenite,
64,20,oras,Sunny Day,
65,20,oras,Sunny Beach,
66,20,oras,St. Constantin,
67,20,oras,Balcik,
68,15,oras,Rabat,
69,19,oras,Mamaia,
70,19,oras,Cap Aurora,
71,19,oras,Costinesti,
72,19,oras,Eforie Nord,
73,19,oras,Eforie Sud,
74,19,oras,Jupiter,
75,19,oras,Mangalia,
76,19,oras,Neptun,
77,19,oras,Olimp,
78,19,oras,Saturn,
79,19,oras,Venus,
81,21,oras,Halkidiki,
82,20,oras,Bansko,"Statiunea Bansko este situata in partea de sud-vest a Bulgariei, la 160 km de Sofia, la poalele muntilor Pirin, fiind inclusa in patrimoniul UNESCO. Bansko combina frumusetea naturii si atmosfera romantica a vechiului oras, renumit pentru monumentele culturale si colectia de icoane din scoala Zograf. Zona este faimoasa si pentru bucataria sa, avand numeroase taverne (peste 200) si pentru folclorul autentic. <br />
Conditiile de ski in Bansko sunt excelente. Orasul se afla la altitudinea de 925 metri iar zonele de ski se afla la altitudinea de 2000-2600 metri. Lungimea totala a pistelor de ski este de 70 km. Exista 55 de tunuri de zapada artificiala si 650 metri de pista luminata ce poate fi folosita si noaptea."
83,20,oras,Borovets,"Statiunea Borovets este situata la altitudinea de 1300 metri in Muntii Rila, la 73 km de Sofia. Statiunea ofera conditii perfecte pentru sporturile de iarna. A gazduit de doua ori cupa mondiala la ski alpin. Sezonul de ski dureaza din noiembrie pana in mai. <br />
Exista piste de ski pentru fiecare sportiv, acestea avand dificultati variate: pentru incepatori, intermediari, avansati si experti; pistele au o lungime totala de 40 km. Statiunea are si piste de ski echipate cu tunuri de zapada si instalatie nocturna. Exista variante multiple pentru ski-pass-uri valabile in intreaga retea de transport pe cablu."
84,16,oras,Insula Ischia,
85,16,oras,Catania,
86,17,oras,Berlin,
88,20,oras,Pamporovo,
90,22,oras,Zell am See,
91,22,oras,Niedernsill,
92,22,oras,Kaprun,
93,22,oras,Bruck an der Glocknerstrasse,
94,22,oras,Fusch,
95,22,oras,Bad Gastein,
96,22,oras,Bad Hofgastein,
97,22,oras,Saalbach,
98,22,oras,Landeck,
99,40,oras,Port Louis,
100,41,oras,Dubai,
101,42,oras,Punta Cana,
103,22,oras,Fieberbrunn,"Cuibarita in mijlocul Alpilor Kitzbuhel, statiunea Fieberbrunn situata in valea Pillerseetal de la circa 800 - 2020 m altitudine ofera numeroase baruri si cafenele, discoteci, Apres-ski-Cabane, fiind celebra, de asemenea pentru iubitorii de snowboard. <br />
Regiunea de ski ""Schneewinkl"" ofera circa 40 km de partii bine preparate si circa 11 de instalatii de transport pe cablu. Telecabina in fata hotelului la 10 m, iar cel mai apropiat skibus este la 50 m. Este posibil si ski-in, ski-out."
104,21,oras,Skiathos,
