Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Reference
3458;Size:size:1;40:00:00;DR 0034 5804 40
3458;Size:size:2;42:00:00;DR 0034 5804 42
3458;Size:size:3;44:00:00;DR 0034 5804 44
3458;Size:size:4;46:00:00;DR 0034 5804 46
3458;Size:size:5;48:00:00;DR 0034 5804 48
3458;Size:size:6;50:00:00;DR 0034 5804 50
3458;Size:size:7;52:00:00;DR 0034 5804 52
3458;Size:size:8;54:00:00;DR 0034 5804 54
3458;Size:size:9;56:00:00;DR 0034 5804 56
3458;Size:size:10;58:00:00;DR 0034 5804 58
3458;Size:size:11;60:00:00;DR 0034 5804 60
3458;Size:size:12;62:00:00;DR 0034 5804 62
3458;Size:size:13;64:00:00;DR 0034 5804 64
