ID,PARENT,TYPE PARENT,TYPE,NAME,DESCRIPTION,,
1,1,oras,oras,Kusadasi,,1,activ
2,1,oras,oras,Bodrum,,1,activ
3,1,oras,oras,Marmaris,,1,activ
4,1,oras,oras,Antalya,,1,activ
5,1,oras,oras,Belek,,1,activ
6,1,oras,oras,Side,,1,activ
7,1,oras,oras,Alanya,,1,activ
8,1,oras,oras,Kemer,,1,activ
9,1,oras,oras,Lara Kundu,,1,activ
10,1,oras,oras,Istanbul,,1,activ
11,1,oras,oras,Canakkale,,1,inactiv
12,1,oras,oras,Edirne,,1,inactiv
13,1,oras,oras,Pamukkale,,1,inactiv
14,1,oras,oras,Cappadocia,,1,inactiv
15,1,oras,oras,Cesme,,1,activ
16,1,oras,oras,Finike,,1,activ
17,1,oras,oras,Fethiye,,1,activ
18,1,oras,oras,Dalaman,,1,inactiv
19,2,oras,oras,Hammamet,,1,activ
20,2,oras,oras,Monastir,,1,activ
21,2,oras,oras,Sousse,,1,activ
22,3,oras,oras,Cairo,,1,inactiv
23,3,oras,oras,Hurgada,,1,activ
24,3,oras,oras,Sharm El Sheikh,,1,activ
25,1,regiune,zona,Antalya,,1,inactiv
26,13,oras,oras,Amsterdam,,1,inactiv
27,14,oras,oras,Paris,,1,activ
28,15,oras,oras,Casablanca,,1,inactiv
29,17,oras,oras,Munchen,,1,inactiv
30,16,oras,oras,Roma,,1,activ
32,22,oras,oras,Viena,,1,activ
33,23,oras,oras,Chisinau,,1,activ
34,24,oras,oras,Barcelona,,1,activ
35,24,oras,oras,Madrid,,1,inactiv
36,25,oras,oras,Moscova,,1,activ
37,26,oras,oras,New York,,1,activ
38,27,oras,oras,Praga,,1,activ
39,28,oras,oras,Londra,,1,activ
40,29,oras,oras,Copenhaga,,1,activ
41,30,oras,oras,Oslo,,1,activ
42,16,oras,oras,Venetia,,1,inactiv
43,19,oras,oras,Timisoara,,1,inactiv
44,19,oras,oras,Cluj,,1,inactiv
45,31,oras,oras,Beijing,,1,activ
46,32,oras,oras,Tokyo,,1,activ
47,38,oras,oras,Tripoli,,1,activ
48,33,oras,oras,Varsovia,,1,activ
49,34,oras,oras,Tel Aviv,,1,activ
50,35,oras,oras,Helsinki,,1,inactiv
51,36,oras,oras,Brussels,,1,activ
52,37,oras,oras,Stockholm,,1,activ
53,1,oras,oras,Ankara,,1,inactiv
54,1,oras,oras,Izmir,,1,inactiv
55,20,oras,oras,Duni,,1,activ
56,16,oras,oras,Ascoli Satriano,,1,activ
57,20,oras,oras,Albena,,1,activ
58,20,oras,oras,Golden Sands,,1,activ
59,20,oras,oras,Natural Park Golden Sands,,1,inactiv
60,20,oras,oras,Nessebar,,1,activ
61,20,oras,oras,Obzor,,1,activ
62,20,oras,oras,Pomorie,,1,activ
63,20,oras,oras,Elenite,,1,activ
64,20,oras,oras,Sunny Day,,1,activ
65,20,oras,oras,Sunny Beach,,1,activ
66,20,oras,oras,St. Constantin,,1,activ
67,20,oras,oras,Balcik,,1,activ
68,15,oras,oras,Rabat,,1,activ
69,19,oras,oras,Mamaia,,1,activ
70,19,oras,oras,Cap Aurora,,1,activ
71,19,oras,oras,Costinesti,,1,activ
72,19,oras,oras,Eforie Nord,,1,activ
73,19,oras,oras,Eforie Sud,,1,activ
74,19,oras,oras,Jupiter,,1,activ
75,19,oras,oras,Mangalia,,1,activ
76,19,oras,oras,Neptun,,1,activ
77,19,oras,oras,Olimp,,1,activ
78,19,oras,oras,Saturn,,1,activ
79,19,oras,oras,Venus,,1,activ
81,21,oras,oras,Halkidiki,,1,activ
